Overview,Sentiment_Score,Valence_Score,Arousal_Score,Dominance_Score,Tempo
"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",-0.3,0.5644545454545454,0.36263636363636365,0.4856363636363636,0.01875
An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,0.0,0.5344,0.5325,0.6675000000000001,0.0
"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",0.3333333333333333,0.4976428571428571,0.6025,0.5869285714285715,0.06666666666666667
"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",0.11818181818181818,0.6844999999999999,0.5452,0.6022,0.014335664335664335
A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,0.0,0.47733333333333333,0.5581666666666667,0.6371666666666667,0.0
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,0.0,0.5103,0.4999999999999999,0.5408000000000001,0.0
"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",0.0,0.4668,0.5501,0.55,0.0
"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",0.0,0.385625,0.5878749999999999,0.600625,0.0
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,0.0,0.6008181818181817,0.43345454545454554,0.549090909090909,0.0
"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",0.5,0.5054,0.5053000000000001,0.4968,0.029411764705882353
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,-0.016666666666666673,0.5589333333333334,0.4205999999999999,0.5343333333333333,0.046
"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",-0.041666666666666664,0.7247777777777777,0.4193333333333333,0.5545555555555557,0.006944444444444444
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,-0.05,0.500357142857143,0.5401428571428571,0.5612857142857143,0.004
"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",0.13636363636363635,0.619625,0.47674999999999995,0.544875,0.00974025974025974
"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",-0.1625,0.49814285714285716,0.6068571428571429,0.6342142857142858,0.19399999999999998
